"Ключевое слово","Показов в месяц",Тренды,CPC,Конкуренция
"наборы для ухода за автомобилем",110,"2024-12: 320, 2025-01: 140, 2025-02: 210, 2025-03: 170, 2025-04: 90, 2025-05: 90, 2025-06: 90, 2025-07: 90, 2025-08: 70, 2025-09: 90, 2025-10: 70, 2025-11: 50, 2025-12: 110",0.10,1.00
"набор для ухода за авто",110,"2024-12: 320, 2025-01: 140, 2025-02: 210, 2025-03: 170, 2025-04: 90, 2025-05: 90, 2025-06: 90, 2025-07: 90, 2025-08: 70, 2025-09: 90, 2025-10: 70, 2025-11: 50, 2025-12: 110",0.10,1.00
"набор для химчистки автомобиля",110,"2024-12: 90, 2025-01: 140, 2025-02: 110, 2025-03: 140, 2025-04: 90, 2025-05: 90, 2025-06: 90, 2025-07: 110, 2025-08: 140, 2025-09: 110, 2025-10: 110, 2025-11: 90, 2025-12: 110",0.09,1.00
"нейтрализатор запаха в автомобиле",210,"2024-12: 210, 2025-01: 170, 2025-02: 170, 2025-03: 210, 2025-04: 170, 2025-05: 210, 2025-06: 210, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 210, 2025-11: 170, 2025-12: 210",0.02,1.00
"профессиональный нейтрализатор запаха",90,"2024-12: 140, 2025-01: 140, 2025-02: 110, 2025-03: 110, 2025-04: 110, 2025-05: 90, 2025-06: 70, 2025-07: 110, 2025-08: 90, 2025-09: 70, 2025-10: 90, 2025-11: 50, 2025-12: 90",0.08,1.00
"очиститель стекла авто",210,"2024-12: 170, 2025-01: 260, 2025-02: 170, 2025-03: 320, 2025-04: 260, 2025-05: 170, 2025-06: 110, 2025-07: 110, 2025-08: 140, 2025-09: 260, 2025-10: 210, 2025-11: 170, 2025-12: 210",0.07,1.00
"полироль для панели авто",90,"2024-12: 70, 2025-01: 110, 2025-02: 70, 2025-03: 140, 2025-04: 110, 2025-05: 110, 2025-06: 90, 2025-07: 90, 2025-08: 90, 2025-09: 90, 2025-10: 70, 2025-11: 70, 2025-12: 90",0.02,1.00
"полироль для торпеды автомобиля",110,"2024-12: 90, 2025-01: 110, 2025-02: 90, 2025-03: 170, 2025-04: 170, 2025-05: 110, 2025-06: 110, 2025-07: 110, 2025-08: 110, 2025-09: 140, 2025-10: 70, 2025-11: 30, 2025-12: 110",0.02,1.00
"полировочная паста для автомобиля",480,"2024-12: 320, 2025-01: 480, 2025-02: 320, 2025-03: 480, 2025-04: 480, 2025-05: 480, 2025-06: 590, 2025-07: 590, 2025-08: 590, 2025-09: 720, 2025-10: 390, 2025-11: 260, 2025-12: 480",0.02,1.00
"тряпки для сушки авто",110,"2024-12: 170, 2025-01: 170, 2025-02: 110, 2025-03: 210, 2025-04: 110, 2025-05: 140, 2025-06: 90, 2025-07: 90, 2025-08: 110, 2025-09: 140, 2025-10: 70, 2025-11: 70, 2025-12: 110",0.02,1.00
"тряпки для сушки автомобиля",110,"2024-12: 170, 2025-01: 170, 2025-02: 110, 2025-03: 210, 2025-04: 110, 2025-05: 140, 2025-06: 90, 2025-07: 90, 2025-08: 110, 2025-09: 140, 2025-10: 70, 2025-11: 70, 2025-12: 110",0.02,1.00
"микрофибра для сушки авто",140,"2024-12: 110, 2025-01: 110, 2025-02: 140, 2025-03: 210, 2025-04: 110, 2025-05: 110, 2025-06: 110, 2025-07: 70, 2025-08: 210, 2025-09: 210, 2025-10: 110, 2025-11: 70, 2025-12: 140",0.10,1.00
"тряпка для сушки авто",110,"2024-12: 170, 2025-01: 170, 2025-02: 110, 2025-03: 210, 2025-04: 110, 2025-05: 140, 2025-06: 90, 2025-07: 90, 2025-08: 110, 2025-09: 140, 2025-10: 70, 2025-11: 70, 2025-12: 110",0.02,1.00
"уход за салоном авто",40,"2024-12: 30, 2025-01: 30, 2025-02: 40, 2025-03: 70, 2025-04: 40, 2025-05: 50, 2025-06: 40, 2025-07: 40, 2025-08: 40, 2025-09: 30, 2025-10: 10, 2025-11: 20, 2025-12: 40",0.13,1.00
"полироль для кожи",30,"2024-12: 20, 2025-01: 30, 2025-02: 40, 2025-03: 40, 2025-04: 30, 2025-05: 30, 2025-06: 30, 2025-07: 30, 2025-08: 30, 2025-09: 20, 2025-10: 30, 2025-11: 20, 2025-12: 30",0.00,0.99
tornador,140,"2024-12: 140, 2025-01: 110, 2025-02: 140, 2025-03: 170, 2025-04: 170, 2025-05: 140, 2025-06: 140, 2025-07: 140, 2025-08: 140, 2025-09: 90, 2025-10: 110, 2025-11: 140, 2025-12: 140",0.08,0.99
"синяя глина для авто",110,"2024-12: 50, 2025-01: 50, 2025-02: 50, 2025-03: 140, 2025-04: 170, 2025-05: 170, 2025-06: 140, 2025-07: 110, 2025-08: 170, 2025-09: 140, 2025-10: 90, 2025-11: 70, 2025-12: 110",0.02,1.00
"полимер для авто",70,"2024-12: 320, 2025-01: 50, 2025-02: 70, 2025-03: 140, 2025-04: 70, 2025-05: 70, 2025-06: 70, 2025-07: 40, 2025-08: 30, 2025-09: 30, 2025-10: 30, 2025-11: 20, 2025-12: 70",0.09,0.96
"набор для химчистки салона",70,"2024-12: 90, 2025-01: 110, 2025-02: 90, 2025-03: 110, 2025-04: 90, 2025-05: 70, 2025-06: 70, 2025-07: 40, 2025-08: 50, 2025-09: 40, 2025-10: 20, 2025-11: 20, 2025-12: 70",0.11,1.00
"набор для чистки салона авто",70,"2024-12: 90, 2025-01: 110, 2025-02: 70, 2025-03: 70, 2025-04: 70, 2025-05: 70, 2025-06: 50, 2025-07: 50, 2025-08: 40, 2025-09: 30, 2025-10: 30, 2025-11: 40, 2025-12: 70",0.08,1.00
"набор для химчистки авто",110,"2024-12: 90, 2025-01: 140, 2025-02: 110, 2025-03: 140, 2025-04: 90, 2025-05: 90, 2025-06: 90, 2025-07: 110, 2025-08: 140, 2025-09: 110, 2025-10: 110, 2025-11: 90, 2025-12: 110",0.09,1.00
"нейтрализатор запаха в авто",210,"2024-12: 210, 2025-01: 170, 2025-02: 170, 2025-03: 210, 2025-04: 170, 2025-05: 210, 2025-06: 210, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 210, 2025-11: 170, 2025-12: 210",0.02,1.00
"средство для мытья двигателя",90,"2024-12: 70, 2025-01: 140, 2025-02: 90, 2025-03: 140, 2025-04: 110, 2025-05: 110, 2025-06: 110, 2025-07: 70, 2025-08: 70, 2025-09: 70, 2025-10: 70, 2025-11: 40, 2025-12: 90",0.02,1.00
"омыватель стекла летний",110,"2024-12: 50, 2025-01: 20, 2025-02: 40, 2025-03: 170, 2025-04: 210, 2025-05: 260, 2025-06: 170, 2025-07: 170, 2025-08: 110, 2025-09: 210, 2025-10: 40, 2025-11: 20, 2025-12: 110",0.02,1.00
"подарочные наборы для мужчин в машину",110,"2024-12: 390, 2025-01: 140, 2025-02: 170, 2025-03: 110, 2025-04: 50, 2025-05: 90, 2025-06: 50, 2025-07: 90, 2025-08: 70, 2025-09: 90, 2025-10: 70, 2025-11: 90, 2025-12: 110",0.08,1.00
"щетка для мытья авто",70,"2024-12: 170, 2025-01: 110, 2025-02: 90, 2025-03: 140, 2025-04: 70, 2025-05: 70, 2025-06: 70, 2025-07: 40, 2025-08: 20, 2025-09: 70, 2025-10: 30, 2025-11: 70, 2025-12: 70",0.02,1.00
"лучшее средство по уходу за кожей авто",90,"2024-12: 70, 2025-01: 90, 2025-02: 90, 2025-03: 110, 2025-04: 110, 2025-05: 110, 2025-06: 70, 2025-07: 110, 2025-08: 90, 2025-09: 90, 2025-10: 70, 2025-11: 40, 2025-12: 90",0.07,1.00
"шампунь для мойки авто",90,"2024-12: 90, 2025-01: 140, 2025-02: 90, 2025-03: 140, 2025-04: 90, 2025-05: 90, 2025-06: 70, 2025-07: 70, 2025-08: 70, 2025-09: 70, 2025-10: 10, 2025-11: 40, 2025-12: 90",0.06,1.00
"губка для авто",110,"2024-12: 70, 2025-01: 140, 2025-02: 90, 2025-03: 110, 2025-04: 140, 2025-05: 110, 2025-06: 110, 2025-07: 110, 2025-08: 90, 2025-09: 110, 2025-10: 90, 2025-11: 110, 2025-12: 110",0.02,1.00
"губки для автомобиля",110,"2024-12: 70, 2025-01: 140, 2025-02: 90, 2025-03: 110, 2025-04: 140, 2025-05: 110, 2025-06: 110, 2025-07: 110, 2025-08: 90, 2025-09: 110, 2025-10: 90, 2025-11: 110, 2025-12: 110",0.02,1.00
"холодный воск для автомобиля",90,"2024-12: 70, 2025-01: 110, 2025-02: 90, 2025-03: 140, 2025-04: 90, 2025-05: 90, 2025-06: 90, 2025-07: 70, 2025-08: 70, 2025-09: 90, 2025-10: 30, 2025-11: 30, 2025-12: 90",0.03,1.00
"очиститель двигателя от масляных загрязнений",90,"2024-12: 140, 2025-01: 140, 2025-02: 70, 2025-03: 140, 2025-04: 90, 2025-05: 90, 2025-06: 90, 2025-07: 70, 2025-08: 50, 2025-09: 50, 2025-10: 40, 2025-11: 50, 2025-12: 90",0.05,1.00
"шампунь для ручной мойки авто",70,"2024-12: 50, 2025-01: 90, 2025-02: 50, 2025-03: 170, 2025-04: 110, 2025-05: 90, 2025-06: 90, 2025-07: 40, 2025-08: 50, 2025-09: 110, 2025-10: 30, 2025-11: 40, 2025-12: 70",0.05,1.00
"мягкие щетки для мытья машины",70,"2024-12: 140, 2025-01: 140, 2025-02: 170, 2025-03: 110, 2025-04: 50, 2025-05: 50, 2025-06: 20, 2025-07: 30, 2025-08: 40, 2025-09: 20, 2025-10: 20, 2025-11: 40, 2025-12: 70",0.02,1.00
"средство для кожи авто",90,"2024-12: 50, 2025-01: 90, 2025-02: 90, 2025-03: 110, 2025-04: 110, 2025-05: 110, 2025-06: 90, 2025-07: 110, 2025-08: 70, 2025-09: 110, 2025-10: 70, 2025-11: 50, 2025-12: 90",0.08,1.00
"влаговпитывающая тряпка для авто",90,"2024-12: 110, 2025-01: 140, 2025-02: 110, 2025-03: 90, 2025-04: 110, 2025-05: 90, 2025-06: 70, 2025-07: 70, 2025-08: 110, 2025-09: 110, 2025-10: 50, 2025-11: 50, 2025-12: 90",0.05,1.00
"средства для чернения шин",50,"2024-12: 30, 2025-01: 40, 2025-02: 30, 2025-03: 70, 2025-04: 90, 2025-05: 50, 2025-06: 50, 2025-07: 70, 2025-08: 50, 2025-09: 90, 2025-10: 50, 2025-11: 50, 2025-12: 50",0.02,0.98
"полироль для шин",50,"2024-12: 50, 2025-01: 40, 2025-02: 40, 2025-03: 70, 2025-04: 90, 2025-05: 40, 2025-06: 70, 2025-07: 40, 2025-08: 50, 2025-09: 50, 2025-10: 30, 2025-11: 20, 2025-12: 50",0.02,1.00
автоскраб,70,"2024-12: 50, 2025-01: 50, 2025-02: 50, 2025-03: 90, 2025-04: 70, 2025-05: 110, 2025-06: 70, 2025-07: 70, 2025-08: 50, 2025-09: 50, 2025-10: 30, 2025-11: 40, 2025-12: 70",0.05,1.00
"перчатка для мойки авто",70,"2024-12: 90, 2025-01: 90, 2025-02: 90, 2025-03: 70, 2025-04: 70, 2025-05: 50, 2025-06: 50, 2025-07: 70, 2025-08: 40, 2025-09: 40, 2025-10: 40, 2025-11: 40, 2025-12: 70",0.02,1.00
"холодный воск для авто",90,"2024-12: 70, 2025-01: 110, 2025-02: 90, 2025-03: 140, 2025-04: 90, 2025-05: 90, 2025-06: 90, 2025-07: 70, 2025-08: 70, 2025-09: 90, 2025-10: 30, 2025-11: 30, 2025-12: 90",0.03,1.00
"горячий воск для авто",50,"2024-12: 50, 2025-01: 90, 2025-02: 70, 2025-03: 70, 2025-04: 70, 2025-05: 70, 2025-06: 50, 2025-07: 30, 2025-08: 70, 2025-09: 50, 2025-10: 30, 2025-11: 30, 2025-12: 50",0.06,1.00
"тряпка микрофибра для авто",70,"2024-12: 110, 2025-01: 90, 2025-02: 50, 2025-03: 90, 2025-04: 50, 2025-05: 70, 2025-06: 70, 2025-07: 70, 2025-08: 90, 2025-09: 70, 2025-10: 70, 2025-11: 50, 2025-12: 70",0.07,1.00
"оборудование для химчистки авто",50,"2024-12: 50, 2025-01: 50, 2025-02: 70, 2025-03: 70, 2025-04: 70, 2025-05: 70, 2025-06: 30, 2025-07: 30, 2025-08: 40, 2025-09: 30, 2025-10: 30, 2025-11: 30, 2025-12: 50",0.09,1.00
"подарочные наборы в машину",50,"2024-12: 210, 2025-01: 70, 2025-02: 70, 2025-03: 30, 2025-04: 30, 2025-05: 20, 2025-06: 40, 2025-07: 40, 2025-08: 30, 2025-09: 40, 2025-10: 30, 2025-11: 30, 2025-12: 50",0.09,1.00
"подарочные наборы для автомобилиста",90,"2024-12: 260, 2025-01: 110, 2025-02: 110, 2025-03: 90, 2025-04: 90, 2025-05: 110, 2025-06: 70, 2025-07: 70, 2025-08: 70, 2025-09: 90, 2025-10: 50, 2025-11: 20, 2025-12: 90",0.07,0.88
"машина для полировки авто",70,"2024-12: 50, 2025-01: 70, 2025-02: 110, 2025-03: 90, 2025-04: 70, 2025-05: 70, 2025-06: 70, 2025-07: 50, 2025-08: 70, 2025-09: 70, 2025-10: 70, 2025-11: 20, 2025-12: 70",0.02,1.00
"щетка для мытья автомобиля",70,"2024-12: 70, 2025-01: 140, 2025-02: 110, 2025-03: 140, 2025-04: 70, 2025-05: 50, 2025-06: 40, 2025-07: 30, 2025-08: 20, 2025-09: 20, 2025-10: 40, 2025-11: 50, 2025-12: 70",0.02,1.00
"щетки для детейлинга",140,"2024-12: 90, 2025-01: 140, 2025-02: 170, 2025-03: 210, 2025-04: 170, 2025-05: 210, 2025-06: 170, 2025-07: 140, 2025-08: 140, 2025-09: 110, 2025-10: 90, 2025-11: 90, 2025-12: 140",0.09,1.00
"средства для кожи автомобиля",90,"2024-12: 50, 2025-01: 90, 2025-02: 90, 2025-03: 110, 2025-04: 110, 2025-05: 110, 2025-06: 90, 2025-07: 110, 2025-08: 70, 2025-09: 110, 2025-10: 70, 2025-11: 50, 2025-12: 90",0.08,1.00
"средства для салона автомобиля",30,"2024-12: 10, 2025-01: 10, 2025-02: 30, 2025-03: 40, 2025-04: 30, 2025-05: 30, 2025-06: 20, 2025-07: 20, 2025-08: 20, 2025-09: 90, 2025-10: 10, 2025-11: 10, 2025-12: 30",0.07,1.00
"ведро для мойки автомобиля",70,"2024-12: 50, 2025-01: 90, 2025-02: 70, 2025-03: 110, 2025-04: 90, 2025-05: 70, 2025-06: 50, 2025-07: 50, 2025-08: 50, 2025-09: 70, 2025-10: 40, 2025-11: 50, 2025-12: 70",0.04,0.98
"ведра для мойки авто",70,"2024-12: 50, 2025-01: 90, 2025-02: 70, 2025-03: 110, 2025-04: 90, 2025-05: 70, 2025-06: 50, 2025-07: 50, 2025-08: 50, 2025-09: 70, 2025-10: 40, 2025-11: 50, 2025-12: 70",0.04,0.98
"воск автомобильный",70,"2024-12: 40, 2025-01: 70, 2025-02: 70, 2025-03: 90, 2025-04: 70, 2025-05: 110, 2025-06: 50, 2025-07: 70, 2025-08: 90, 2025-09: 70, 2025-10: 50, 2025-11: 50, 2025-12: 70",0.04,1.00
"воск для полировки авто",90,"2024-12: 30, 2025-01: 90, 2025-02: 40, 2025-03: 140, 2025-04: 140, 2025-05: 140, 2025-06: 140, 2025-07: 110, 2025-08: 140, 2025-09: 90, 2025-10: 40, 2025-11: 50, 2025-12: 90",0.02,0.85
"антидождь для авто",260,"2024-12: 480, 2025-01: 170, 2025-02: 140, 2025-03: 170, 2025-04: 210, 2025-05: 210, 2025-06: 110, 2025-07: 90, 2025-08: 140, 2025-09: 260, 2025-10: 720, 2025-11: 720, 2025-12: 260",0.02,1.00
"губка для мойки авто",70,"2024-12: 40, 2025-01: 70, 2025-02: 50, 2025-03: 110, 2025-04: 90, 2025-05: 70, 2025-06: 90, 2025-07: 70, 2025-08: 70, 2025-09: 110, 2025-10: 30, 2025-11: 50, 2025-12: 70",0.02,1.00
"кислотный шампунь для авто",90,"2024-12: 30, 2025-01: 70, 2025-02: 70, 2025-03: 70, 2025-04: 110, 2025-05: 110, 2025-06: 110, 2025-07: 140, 2025-08: 70, 2025-09: 90, 2025-10: 70, 2025-11: 50, 2025-12: 90",0.08,1.00
"щетка для чистки салона автомобиля",40,"2024-12: 20, 2025-01: 20, 2025-02: 50, 2025-03: 50, 2025-04: 50, 2025-05: 40, 2025-06: 40, 2025-07: 30, 2025-08: 40, 2025-09: 20, 2025-10: 20, 2025-11: 20, 2025-12: 40",0.07,0.98
"щетка для чистки салона авто",40,"2024-12: 20, 2025-01: 20, 2025-02: 50, 2025-03: 50, 2025-04: 50, 2025-05: 40, 2025-06: 40, 2025-07: 30, 2025-08: 40, 2025-09: 20, 2025-10: 20, 2025-11: 20, 2025-12: 40",0.07,0.98
"тряпки для мытья машины",50,"2024-12: 30, 2025-01: 70, 2025-02: 50, 2025-03: 90, 2025-04: 50, 2025-05: 40, 2025-06: 30, 2025-07: 40, 2025-08: 70, 2025-09: 70, 2025-10: 20, 2025-11: 20, 2025-12: 50",0.02,1.00
"средство для мойки авто",40,"2024-12: 30, 2025-01: 70, 2025-02: 50, 2025-03: 90, 2025-04: 70, 2025-05: 40, 2025-06: 40, 2025-07: 40, 2025-08: 40, 2025-09: 30, 2025-10: 20, 2025-11: 20, 2025-12: 40",0.10,1.00
"химия для мойки",50,"2024-12: 70, 2025-01: 50, 2025-02: 40, 2025-03: 70, 2025-04: 50, 2025-05: 50, 2025-06: 40, 2025-07: 50, 2025-08: 50, 2025-09: 50, 2025-10: 20, 2025-11: 30, 2025-12: 50",0.11,1.00
"химия для дисков",50,"2024-12: 40, 2025-01: 70, 2025-02: 50, 2025-03: 90, 2025-04: 70, 2025-05: 90, 2025-06: 50, 2025-07: 50, 2025-08: 30, 2025-09: 50, 2025-10: 20, 2025-11: 50, 2025-12: 50",0.08,1.00
"средство для чистки кожи авто",70,"2024-12: 70, 2025-01: 50, 2025-02: 70, 2025-03: 90, 2025-04: 90, 2025-05: 90, 2025-06: 70, 2025-07: 50, 2025-08: 70, 2025-09: 70, 2025-10: 70, 2025-11: 40, 2025-12: 70",0.06,1.00
"средства для чистки кожи автомобиля",70,"2024-12: 70, 2025-01: 50, 2025-02: 70, 2025-03: 90, 2025-04: 90, 2025-05: 90, 2025-06: 70, 2025-07: 50, 2025-08: 70, 2025-09: 70, 2025-10: 70, 2025-11: 40, 2025-12: 70",0.06,1.00
"очиститель кузова авто",50,"2024-12: 40, 2025-01: 50, 2025-02: 50, 2025-03: 110, 2025-04: 70, 2025-05: 50, 2025-06: 50, 2025-07: 50, 2025-08: 30, 2025-09: 110, 2025-10: 40, 2025-11: 20, 2025-12: 50",0.06,1.00
"очиститель кузова автомобиля",50,"2024-12: 40, 2025-01: 50, 2025-02: 50, 2025-03: 110, 2025-04: 70, 2025-05: 50, 2025-06: 50, 2025-07: 50, 2025-08: 30, 2025-09: 110, 2025-10: 40, 2025-11: 20, 2025-12: 50",0.06,1.00
"очиститель шин",50,"2024-12: 50, 2025-01: 20, 2025-02: 30, 2025-03: 90, 2025-04: 70, 2025-05: 40, 2025-06: 30, 2025-07: 40, 2025-08: 40, 2025-09: 70, 2025-10: 50, 2025-11: 40, 2025-12: 50",0.03,1.00
"полироль для стекла авто",50,"2024-12: 30, 2025-01: 50, 2025-02: 50, 2025-03: 90, 2025-04: 50, 2025-05: 70, 2025-06: 50, 2025-07: 40, 2025-08: 50, 2025-09: 90, 2025-10: 40, 2025-11: 40, 2025-12: 50",0.02,1.00
"полироль для стекол автомобиля",50,"2024-12: 30, 2025-01: 50, 2025-02: 50, 2025-03: 90, 2025-04: 50, 2025-05: 70, 2025-06: 50, 2025-07: 40, 2025-08: 50, 2025-09: 90, 2025-10: 40, 2025-11: 40, 2025-12: 50",0.02,1.00
"пенообразователь для мойки высокого давления",50,"2024-12: 30, 2025-01: 70, 2025-02: 70, 2025-03: 70, 2025-04: 70, 2025-05: 50, 2025-06: 50, 2025-07: 50, 2025-08: 70, 2025-09: 50, 2025-10: 30, 2025-11: 20, 2025-12: 50",0.02,1.00
"автомобильный шампунь для ручной мойки",50,"2024-12: 50, 2025-01: 70, 2025-02: 50, 2025-03: 70, 2025-04: 70, 2025-05: 70, 2025-06: 50, 2025-07: 70, 2025-08: 40, 2025-09: 40, 2025-10: 20, 2025-11: 10, 2025-12: 50",0.00,1.00
"щетки для мойки машины",70,"2024-12: 90, 2025-01: 110, 2025-02: 90, 2025-03: 110, 2025-04: 90, 2025-05: 30, 2025-06: 20, 2025-07: 30, 2025-08: 30, 2025-09: 40, 2025-10: 40, 2025-11: 40, 2025-12: 70",0.02,1.00
"кисти для детейлинга",140,"2024-12: 110, 2025-01: 110, 2025-02: 170, 2025-03: 170, 2025-04: 140, 2025-05: 140, 2025-06: 170, 2025-07: 110, 2025-08: 140, 2025-09: 140, 2025-10: 110, 2025-11: 110, 2025-12: 140",0.11,1.00
"защитные покрытия для авто",40,"2024-12: 50, 2025-01: 50, 2025-02: 50, 2025-03: 50, 2025-04: 70, 2025-05: 50, 2025-06: 30, 2025-07: 30, 2025-08: 40, 2025-09: 40, 2025-10: 20, 2025-11: 20, 2025-12: 40",0.00,1.00
"полироль для автостекла",30,"2024-12: 10, 2025-01: 10, 2025-02: 20, 2025-03: 20, 2025-04: 50, 2025-05: 30, 2025-06: 40, 2025-07: 20, 2025-08: 30, 2025-09: 50, 2025-10: 40, 2025-11: 20, 2025-12: 30",0.02,1.00
"аксессуары для мойки авто",20,"2024-12: 30, 2025-01: 30, 2025-02: 30, 2025-03: 20, 2025-04: 20, 2025-05: 10, 2025-06: 20, 2025-07: 10, 2025-08: 10, 2025-09: 30, 2025-10: 10, 2025-11: 10, 2025-12: 20",0.00,1.00
"все для мойки авто",30,"2024-12: 20, 2025-01: 50, 2025-02: 50, 2025-03: 50, 2025-04: 40, 2025-05: 40, 2025-06: 20, 2025-07: 30, 2025-08: 20, 2025-09: 30, 2025-10: 20, 2025-11: 20, 2025-12: 30",0.09,1.00
"тряпки для полировки авто",30,"2024-12: 40, 2025-01: 30, 2025-02: 20, 2025-03: 50, 2025-04: 50, 2025-05: 40, 2025-06: 30, 2025-07: 20, 2025-08: 20, 2025-09: 50, 2025-10: 20, 2025-11: 10, 2025-12: 30",0.03,1.00
антибитум,260,"2024-12: 140, 2025-01: 170, 2025-02: 110, 2025-03: 260, 2025-04: 390, 2025-05: 390, 2025-06: 320, 2025-07: 320, 2025-08: 260, 2025-09: 260, 2025-10: 170, 2025-11: 140, 2025-12: 260",0.07,1.00
"средство от мошек на авто",10,"2024-12: 0, 2025-01: 0, 2025-02: 0, 2025-03: 10, 2025-04: 10, 2025-05: 10, 2025-06: 10, 2025-07: 10, 2025-08: 10, 2025-09: 10, 2025-10: 0, 2025-11: 0, 2025-12: 10",0.00,0.00
"автомобильный шампунь",90,"2024-12: 50, 2025-01: 110, 2025-02: 90, 2025-03: 140, 2025-04: 140, 2025-05: 90, 2025-06: 90, 2025-07: 70, 2025-08: 70, 2025-09: 90, 2025-10: 50, 2025-11: 40, 2025-12: 90",0.04,1.00
"чернитель колёс",40,"2024-12: 10, 2025-01: 10, 2025-02: 20, 2025-03: 50, 2025-04: 70, 2025-05: 40, 2025-06: 50, 2025-07: 30, 2025-08: 50, 2025-09: 50, 2025-10: 20, 2025-11: 30, 2025-12: 40",0.02,1.00
"тряпка для стекла автомобиля",40,"2024-12: 50, 2025-01: 50, 2025-02: 40, 2025-03: 70, 2025-04: 50, 2025-05: 40, 2025-06: 20, 2025-07: 30, 2025-08: 40, 2025-09: 50, 2025-10: 30, 2025-11: 30, 2025-12: 40",0.02,1.00
"глина для чистки авто",30,"2024-12: 30, 2025-01: 30, 2025-02: 20, 2025-03: 10, 2025-04: 20, 2025-05: 40, 2025-06: 40, 2025-07: 50, 2025-08: 40, 2025-09: 40, 2025-10: 40, 2025-11: 40, 2025-12: 30",0.02,1.00
"щетки для химчистки авто",40,"2024-12: 10, 2025-01: 30, 2025-02: 30, 2025-03: 50, 2025-04: 50, 2025-05: 70, 2025-06: 40, 2025-07: 50, 2025-08: 40, 2025-09: 50, 2025-10: 30, 2025-11: 30, 2025-12: 40",0.07,1.00
"щетка для дисков авто",20,"2024-12: 30, 2025-01: 50, 2025-02: 30, 2025-03: 20, 2025-04: 20, 2025-05: 30, 2025-06: 20, 2025-07: 30, 2025-08: 20, 2025-09: 10, 2025-10: 20, 2025-11: 20, 2025-12: 20",0.06,1.00
"малярная лента",590,"2024-12: 590, 2025-01: 590, 2025-02: 720, 2025-03: 590, 2025-04: 590, 2025-05: 590, 2025-06: 590, 2025-07: 590, 2025-08: 590, 2025-09: 880, 2025-10: 590, 2025-11: 480, 2025-12: 590",0.02,1.00
"шерстяной круг для полировки",30,"2024-12: 20, 2025-01: 40, 2025-02: 20, 2025-03: 40, 2025-04: 50, 2025-05: 50, 2025-06: 30, 2025-07: 40, 2025-08: 40, 2025-09: 30, 2025-10: 20, 2025-11: 10, 2025-12: 30",0.08,1.00
"микрофибра для полировки авто",50,"2024-12: 30, 2025-01: 30, 2025-02: 40, 2025-03: 70, 2025-04: 70, 2025-05: 70, 2025-06: 50, 2025-07: 40, 2025-08: 70, 2025-09: 50, 2025-10: 30, 2025-11: 30, 2025-12: 50",0.07,1.00
"автохимия для мойки",40,"2024-12: 30, 2025-01: 40, 2025-02: 40, 2025-03: 90, 2025-04: 50, 2025-05: 40, 2025-06: 40, 2025-07: 20, 2025-08: 40, 2025-09: 20, 2025-10: 20, 2025-11: 20, 2025-12: 40",0.11,0.87
"средства для чистки дисков",50,"2024-12: 30, 2025-01: 50, 2025-02: 40, 2025-03: 90, 2025-04: 50, 2025-05: 50, 2025-06: 40, 2025-07: 40, 2025-08: 40, 2025-09: 70, 2025-10: 20, 2025-11: 30, 2025-12: 50",0.02,1.00
"автохимия для кузова",40,"2024-12: 70, 2025-01: 70, 2025-02: 50, 2025-03: 40, 2025-04: 50, 2025-05: 30, 2025-06: 30, 2025-07: 30, 2025-08: 20, 2025-09: 70, 2025-10: 10, 2025-11: 10, 2025-12: 40",0.08,1.00
"распылитель для мойки авто",40,"2024-12: 40, 2025-01: 50, 2025-02: 50, 2025-03: 90, 2025-04: 50, 2025-05: 50, 2025-06: 50, 2025-07: 20, 2025-08: 30, 2025-09: 20, 2025-10: 10, 2025-11: 20, 2025-12: 40",0.02,1.00
"щетки для мойки авто",390,"2024-12: 480, 2025-01: 720, 2025-02: 720, 2025-03: 720, 2025-04: 480, 2025-05: 320, 2025-06: 320, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 260, 2025-11: 390, 2025-12: 390",0.06,1.00
силант,50,"2024-12: 30, 2025-01: 30, 2025-02: 50, 2025-03: 70, 2025-04: 70, 2025-05: 70, 2025-06: 40, 2025-07: 70, 2025-08: 50, 2025-09: 70, 2025-10: 40, 2025-11: 20, 2025-12: 50",0.00,0.83
"средства для дисков и шин",0,,0.00,0.00
"средства для стекол авто",0,,0.00,0.00
"полотенце для сушки авто",260,"2024-12: 320, 2025-01: 320, 2025-02: 320, 2025-03: 390, 2025-04: 260, 2025-05: 210, 2025-06: 260, 2025-07: 320, 2025-08: 260, 2025-09: 260, 2025-10: 210, 2025-11: 210, 2025-12: 260",0.06,1.00
"все для мойки автомобилей",30,"2024-12: 20, 2025-01: 50, 2025-02: 50, 2025-03: 50, 2025-04: 40, 2025-05: 40, 2025-06: 20, 2025-07: 30, 2025-08: 20, 2025-09: 30, 2025-10: 20, 2025-11: 20, 2025-12: 30",0.09,1.00
"антибитум для авто",260,"2024-12: 170, 2025-01: 170, 2025-02: 170, 2025-03: 320, 2025-04: 390, 2025-05: 320, 2025-06: 320, 2025-07: 260, 2025-08: 210, 2025-09: 210, 2025-10: 140, 2025-11: 140, 2025-12: 260",0.05,1.00
